Epidemiology Wk,Start to End,,Total Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Daily Number,,,,
,,,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis (non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Mpox,Middle East Respiratory Syndrome,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox,HFMD
37,8/9/2024 - 14/9/2024,,0,0,2,1,0,0,0,0,200,2,0,0,0,0,2,0,0,0,0,0,15,0,0,1,0,2,3,0,23,0,0,0,0,0,0,0,0,0,2358,76,481,4,22
38,15/9/2024 - 21/9/2024,,0,0,0,1,1,0,0,0,182,0,1,1,0,0,1,0,0,0,3,2,7,0,1,1,0,1,0,0,33,0,0,0,0,0,0,0,0,0,2421,90,452,5,26
39,22/9/2024 - 28/9/2024,,0,0,2,2,0,0,0,0,151,1,1,1,0,0,2,0,0,0,3,1,3,0,2,0,0,1,1,0,25,0,1,0,0,0,0,0,0,0,2415,87,493,6,22
40,29/9/2024 - 5/10/2024,,1,0,0,0,1,0,0,0,155,0,2,1,0,1,4,0,0,0,1,0,8,1,2,1,0,3,2,0,25,0,1,0,0,0,0,0,1,0,2341,84,446,5,21
41,6/10/2024 - 12/10/2024,,0,0,1,1,3,0,0,0,141,2,1,0,0,0,2,0,0,0,1,1,9,1,7,1,1,1,2,0,22,0,0,0,0,0,0,0,0,0,2537,91,438,4,27
42,13/10/2024 - 19/10/2024,,0,0,1,2,0,0,0,0,101,0,0,0,0,1,2,0,0,0,1,0,4,0,4,1,0,2,1,0,28,0,0,0,0,0,0,5,0,0,2606,91,436,5,27
43,20/10/2024 - 26/10/2024,,0,0,2,2,0,0,0,0,118,0,1,0,0,0,6,0,0,0,0,0,11,1,4,1,0,1,6,0,32,0,0,0,0,1,0,4,0,0,2791,95,428,6,27
44,27/10/2024 - 2/11/2024,,0,0,1,1,0,0,0,0,98,0,0,0,0,0,6,0,0,0,1,2,8,0,0,0,0,1,5,0,22,0,0,0,0,0,0,0,0,0,2741,97,414,7,39
45,3/11/2024 - 9/11/2024,,0,0,0,0,0,0,0,0,112,1,0,0,0,0,4,0,0,0,1,1,4,0,0,0,1,1,4,0,24,0,0,0,0,0,0,0,0,0,2627,92,438,7,30
46,10/11/2024 - 16/11/2024,,0,0,1,1,2,0,0,0,109,1,0,0,0,0,3,0,0,0,1,1,4,0,1,0,0,5,1,0,35,0,0,0,0,0,0,2,0,0,2573,90,409,4,27
47,17/11/2024 - 23/11/2024,,0,0,2,0,1,0,0,0,110,1,2,0,0,1,4,0,0,0,0,1,11,1,1,3,0,4,3,0,20,0,1,0,0,0,0,2,0,0,2577,86,390,4,25
48,24/11/2024 - 30/11/2024,,0,0,1,0,0,0,0,0,92,0,0,0,0,0,1,0,0,0,0,0,4,1,3,2,0,3,4,0,24,0,0,0,0,0,0,0,0,0,2470,91,401,6,26
49,1/12/2024 - 7/12/2024,,0,0,0,1,2,0,0,0,115,0,0,0,0,0,4,0,0,0,1,0,12,0,1,0,0,7,2,0,32,0,0,0,0,0,0,2,0,0,2609,95,393,5,30
50,8/12/2024 - 14/12/2024,,0,0,2,0,1,0,0,0,102,0,0,0,0,0,2,0,0,0,0,0,7,0,1,1,1,6,3,0,24,0,0,0,0,0,0,0,0,0,2537,100,407,4,23
51,15/12/2024 - 21/12/2024,,0,0,1,0,1,0,0,0,103,0,0,0,0,0,6,0,0,0,1,0,7,0,1,1,0,3,3,0,18,0,0,0,0,0,0,4,1,0,2266,92,402,5,25
52,22/12/2024 - 28/12/2024,,0,2,2,0,0,0,0,0,70,1,1,1,0,0,2,0,0,0,1,0,3,1,0,0,0,6,1,0,23,0,0,0,0,0,0,0,0,0,2796,117,494,6,33
